Date,Crop_Product,Category,Quantity_Sold_Demanded_kg,Price_per_kg_INR,Location,State,Season_Month,Weather_Festival_Info
2024-07-28,Radish,Vegetable,101,25.1,Shimla,Himachal Pradesh,Monsoon (July),Rainy
2024-08-20,Custard Apple,Fruit,205,82.68,Chennai,Tamil Nadu,Monsoon (August),Rainy
2023-11-04,Sapota,Fruit,204,44.06,Lucknow,Uttar Pradesh,Autumn (November),Mild
2024-03-31,Grapes,Fruit,326,85.33,Jaipur,Rajasthan,Summer (March),Hot
2023-04-06,Sweet Potato,Vegetable,187,27.65,Lucknow,Uttar Pradesh,Summer (April),Hot
2024-07-28,Bitter Gourd,Vegetable,307,26.82,Ahmedabad,Gujarat,Monsoon (July),Rainy
2023-10-23,Mango,Fruit,259,104.41,Kochi,Kerala,Autumn (October),Mild
2024-01-15,Cucumber,Vegetable,262,21.9,Patna,Bihar,Winter (January),Cold
2024-12-15,Radish,Vegetable,360,18.17,Bangalore,Karnataka,Winter (December),Cold
2024-10-25,Strawberry,Fruit,114,137.98,Kochi,Kerala,Autumn (October),Mild
2024-02-23,Carrot,Vegetable,286,25.09,Bhopal,Madhya Pradesh,Winter (February),Cold
2023-06-24,Pineapple,Fruit,262,50.59,Guwahati,Assam,Monsoon (June),Rainy
2024-03-15,Potato,Vegetable,848,21.32,Ahmedabad,Gujarat,Summer (March),Hot
2023-11-14,Strawberry,Fruit,144,111.58,Kolkata,West Bengal,Autumn (November),Mild
2023-12-26,Green Chilli,Vegetable,107,53.59,Jaipur,Rajasthan,Winter (December),Cold
2023-08-13,Strawberry,Fruit,109,160.8,Chennai,Tamil Nadu,Monsoon (August),Rainy
2024-02-20,Sapota,Fruit,245,44.06,Kochi,Kerala,Winter (February),Cold
2023-04-19,Garlic,Vegetable,195,90.85,Hyderabad,Telangana,Summer (April),Hot
2023-07-24,Cabbage,Vegetable,202,25.17,Chandigarh,Punjab,Monsoon (July),Rainy
2024-12-15,Green Chilli,Vegetable,148,55.66,Delhi,Delhi,Winter (December),Cold
2023-10-22,Mango,Fruit,265,75.85,Patna,Bihar,Autumn (October),Mild
2023-07-28,Pineapple,Fruit,335,56.41,Bangalore,Karnataka,Monsoon (July),Rainy
2024-09-26,Onion,Vegetable,570,35.36,Kolkata,West Bengal,Monsoon (September),Rainy
2024-09-27,Guava,Fruit,380,30.62,Ahmedabad,Gujarat,Monsoon (September),Rainy
2024-04-12,Cabbage,Vegetable,293,21.75,Kochi,Kerala,Summer (April),Hot
2023-08-16,Cucumber,Vegetable,196,26.41,Shimla,Himachal Pradesh,Monsoon (August),Rainy
2024-02-28,Garlic,Vegetable,197,84.61,Kochi,Kerala,Winter (February),Cold
2023-06-06,Mango,Fruit,460,68.39,Chandigarh,Punjab,Monsoon (June),Rainy
2024-04-26,Tomato,Vegetable,507,24.35,Lucknow,Uttar Pradesh,Summer (April),Hot
2024-08-03,Spinach,Vegetable,222,24.99,Chennai,Tamil Nadu,Monsoon (August),Rainy
2024-01-06,Garlic,Vegetable,277,72.22,Hyderabad,Telangana,Winter (January),Cold
2024-05-23,Pumpkin,Vegetable,238,27.86,Bangalore,Karnataka,Summer (May),Hot
2023-07-17,Watermelon,Fruit,551,19.04,Chennai,Tamil Nadu,Monsoon (July),Rainy
2023-07-25,Carrot,Vegetable,204,41.93,Jaipur,Rajasthan,Monsoon (July),Rainy
2024-11-28,Mango,Fruit,256,104.98,Kochi,Kerala,Autumn (November),Mild
2023-01-24,Cauliflower,Vegetable,342,16.05,Patna,Bihar,Winter (January),Cold
2024-06-11,Green Chilli,Vegetable,170,39.2,Chandigarh,Punjab,Monsoon (June),Rainy
2023-03-24,Onion,Vegetable,536,27.43,Bhopal,Madhya Pradesh,Summer (March),Hot
2023-02-13,Coconut,Fruit,172,51.76,Kochi,Kerala,Winter (February),Cold
2023-11-02,Brinjal,Vegetable,312,30.4,Kolkata,West Bengal,Autumn (November),Mild
2024-07-18,Muskmelon,Fruit,424,33.54,Delhi,Delhi,Monsoon (July),Rainy
2024-03-02,Papaya,Fruit,372,26.74,Ahmedabad,Gujarat,Summer (March),Hot
2023-05-18,Cauliflower,Vegetable,340,31.74,Mumbai,Maharashtra,Summer (May),Hot
2023-03-28,Mango,Fruit,361,72.62,Guwahati,Assam,Summer (March),Hot
2023-06-03,Cucumber,Vegetable,649,23.3,Mumbai,Maharashtra,Monsoon (June),Rainy
2024-12-05,Brinjal,Vegetable,201,29.57,Bhopal,Madhya Pradesh,Winter (December),Cold
2024-10-08,Watermelon,Fruit,412,26.77,Mumbai,Maharashtra,Autumn (October),Mild
2023-10-08,Coconut,Fruit,268,34.43,Guwahati,Assam,Autumn (October),Mild
2024-01-19,Muskmelon,Fruit,263,37.89,Jaipur,Rajasthan,Winter (January),Cold
2024-04-29,Ginger,Vegetable,158,109.57,Mumbai,Maharashtra,Summer (April),Hot
2023-04-27,Banana,Fruit,723,42.5,Delhi,Delhi,Summer (April),Hot
2024-06-09,Pomegranate,Fruit,259,146.11,Bangalore,Karnataka,Monsoon (June),Rainy
2023-04-27,Orange,Fruit,347,68.95,Ahmedabad,Gujarat,Summer (April),Hot
2024-12-24,Cucumber,Vegetable,153,30.22,Shimla,Himachal Pradesh,Winter (December),Cold
2023-10-30,Spinach,Vegetable,268,19.03,Jaipur,Rajasthan,Autumn (October),Mild
2024-07-27,Custard Apple,Fruit,175,85.33,Jaipur,Rajasthan,Monsoon (July),Rainy
2024-07-15,Beetroot,Vegetable,162,34.2,Kolkata,West Bengal,Monsoon (July),Rainy
2024-02-21,Tomato,Vegetable,211,36.4,Shimla,Himachal Pradesh,Winter (February),Cold
2024-11-12,Pomegranate,Fruit,343,94.57,Kolkata,West Bengal,Autumn (November),Mild
2024-01-19,Capsicum,Vegetable,269,43.95,Kolkata,West Bengal,Winter (January),Cold
2023-07-05,Sapota,Fruit,171,54.68,Ahmedabad,Gujarat,Monsoon (July),Rainy
2023-04-17,Papaya,Fruit,399,23.45,Kolkata,West Bengal,Summer (April),Hot
2023-03-07,Beetroot,Vegetable,288,28.78,Bangalore,Karnataka,Summer (March),Hot
2024-09-07,Peas,Vegetable,298,66.78,Chandigarh,Punjab,Monsoon (September),Rainy | Ganesh Chaturthi
2024-06-02,Cucumber,Vegetable,549,20.27,Hyderabad,Telangana,Monsoon (June),Rainy
2024-09-08,Potato,Vegetable,653,26.56,Kolkata,West Bengal,Monsoon (September),Rainy
2023-11-03,Cluster Beans,Vegetable,179,40.66,Kolkata,West Bengal,Autumn (November),Mild
2023-06-08,Guava,Fruit,175,46.73,Guwahati,Assam,Monsoon (June),Rainy
2023-07-20,Ginger,Vegetable,159,85.81,Kochi,Kerala,Monsoon (July),Rainy
2023-09-13,Cluster Beans,Vegetable,186,28.82,Patna,Bihar,Monsoon (September),Rainy
2023-03-02,Ginger,Vegetable,131,92.09,Jaipur,Rajasthan,Summer (March),Hot
2023-06-29,Bitter Gourd,Vegetable,203,29.64,Guwahati,Assam,Monsoon (June),Rainy
2024-07-28,Banana,Fruit,553,44.88,Ahmedabad,Gujarat,Monsoon (July),Rainy
2023-09-11,Mango,Fruit,190,91.72,Shimla,Himachal Pradesh,Monsoon (September),Rainy
2024-05-27,Tomato,Vegetable,634,24.57,Ahmedabad,Gujarat,Summer (May),Hot
2024-11-21,Cucumber,Vegetable,291,31.44,Chennai,Tamil Nadu,Autumn (November),Mild
2024-01-08,Bitter Gourd,Vegetable,125,33.58,Patna,Bihar,Winter (January),Cold
2024-03-27,Spinach,Vegetable,343,19.63,Delhi,Delhi,Summer (March),Hot
2024-03-31,Grapes,Fruit,293,93.86,Kochi,Kerala,Summer (March),Hot
2023-11-02,Pumpkin,Vegetable,466,20.57,Mumbai,Maharashtra,Autumn (November),Mild
2023-10-12,Ginger,Vegetable,203,57.12,Bhopal,Madhya Pradesh,Autumn (October),Mild | Dussehra
2023-01-23,Peas,Vegetable,363,56.25,Bangalore,Karnataka,Winter (January),Cold
2023-03-10,Sapota,Fruit,254,34.72,Lucknow,Uttar Pradesh,Summer (March),Hot
2023-10-24,Cabbage,Vegetable,183,20.41,Shimla,Himachal Pradesh,Autumn (October),Mild
2023-09-21,Grapes,Fruit,307,102.31,Delhi,Delhi,Monsoon (September),Rainy
2024-10-14,Cucumber,Vegetable,332,30.84,Delhi,Delhi,Autumn (October),Mild
2023-04-12,Papaya,Fruit,432,26.19,Chennai,Tamil Nadu,Summer (April),Hot
2023-07-12,Peas,Vegetable,250,73.9,Delhi,Delhi,Monsoon (July),Rainy
2023-02-19,Apple,Fruit,395,139.27,Hyderabad,Telangana,Winter (February),Cold
2024-03-16,Strawberry,Fruit,134,128.77,Kochi,Kerala,Summer (March),Hot
2023-08-12,Custard Apple,Fruit,149,68.89,Bhopal,Madhya Pradesh,Monsoon (August),Rainy
2024-11-10,Custard Apple,Fruit,255,78.06,Delhi,Delhi,Autumn (November),Mild
2024-12-30,Custard Apple,Fruit,151,73.56,Lucknow,Uttar Pradesh,Winter (December),Cold
2024-11-04,Green Chilli,Vegetable,139,46.01,Ahmedabad,Gujarat,Autumn (November),Mild
2023-11-14,Guava,Fruit,298,26.61,Patna,Bihar,Autumn (November),Mild
2023-08-30,Beetroot,Vegetable,198,36.04,Chennai,Tamil Nadu,Monsoon (August),Rainy
2024-03-30,Orange,Fruit,368,69.44,Chandigarh,Punjab,Summer (March),Hot
2024-06-19,Papaya,Fruit,205,26.37,Shimla,Himachal Pradesh,Monsoon (June),Rainy
2024-06-05,Coconut,Fruit,226,42.97,Chandigarh,Punjab,Monsoon (June),Rainy
2024-05-18,French Beans,Vegetable,190,56.64,Delhi,Delhi,Summer (May),Hot
2023-03-20,Potato,Vegetable,835,21.6,Kolkata,West Bengal,Summer (March),Hot
2023-12-02,Cabbage,Vegetable,547,19.66,Mumbai,Maharashtra,Winter (December),Cold
2024-01-27,Muskmelon,Fruit,282,31.44,Lucknow,Uttar Pradesh,Winter (January),Cold
2023-11-08,Beetroot,Vegetable,258,26.28,Ahmedabad,Gujarat,Autumn (November),Mild
2024-02-11,Sapota,Fruit,368,42.01,Delhi,Delhi,Winter (February),Cold
2023-01-25,Sapota,Fruit,256,34.5,Lucknow,Uttar Pradesh,Winter (January),Cold
2024-04-04,Okra,Vegetable,325,41.2,Jaipur,Rajasthan,Summer (April),Hot
2024-05-10,Cucumber,Vegetable,398,16.01,Patna,Bihar,Summer (May),Hot
2024-04-05,Tomato,Vegetable,624,35.42,Mumbai,Maharashtra,Summer (April),Hot
2024-03-07,Mango,Fruit,469,70.08,Ahmedabad,Gujarat,Summer (March),Hot
2023-04-20,Litchi,Fruit,286,85.91,Delhi,Delhi,Summer (April),Hot
2024-10-30,Carrot,Vegetable,250,28.21,Bhopal,Madhya Pradesh,Autumn (October),Mild
2024-03-16,Radish,Vegetable,328,18.01,Hyderabad,Telangana,Summer (March),Hot
2023-06-29,Capsicum,Vegetable,201,62.52,Bangalore,Karnataka,Monsoon (June),Rainy
2024-07-17,Cluster Beans,Vegetable,222,35.22,Kochi,Kerala,Monsoon (July),Rainy
2024-12-21,Onion,Vegetable,867,27.16,Kolkata,West Bengal,Winter (December),Cold
2024-01-09,Okra,Vegetable,191,40.79,Bhopal,Madhya Pradesh,Winter (January),Cold
2023-02-07,Sweet Potato,Vegetable,225,22.15,Patna,Bihar,Winter (February),Cold
2024-10-27,Papaya,Fruit,242,33.97,Kolkata,West Bengal,Autumn (October),Mild
2024-08-14,Carrot,Vegetable,193,45.23,Kochi,Kerala,Monsoon (August),Rainy
2023-05-23,Sapota,Fruit,223,51.16,Hyderabad,Telangana,Summer (May),Hot
2024-10-17,Strawberry,Fruit,158,148.34,Mumbai,Maharashtra,Autumn (October),Mild
2024-08-10,Strawberry,Fruit,123,176.57,Mumbai,Maharashtra,Monsoon (August),Rainy
2024-10-02,Orange,Fruit,180,76.7,Shimla,Himachal Pradesh,Autumn (October),Mild
2023-11-16,Coconut,Fruit,323,36.51,Hyderabad,Telangana,Autumn (November),Mild
2023-11-04,Litchi,Fruit,116,95.79,Patna,Bihar,Autumn (November),Mild
2023-12-03,Coconut,Fruit,324,42.6,Bangalore,Karnataka,Winter (December),Cold
2023-03-29,Tomato,Vegetable,414,34.77,Kochi,Kerala,Summer (March),Hot
2024-05-15,Mango,Fruit,286,67.2,Shimla,Himachal Pradesh,Summer (May),Hot
2023-11-10,Mango,Fruit,266,81.58,Lucknow,Uttar Pradesh,Autumn (November),Mild
2024-07-03,Beetroot,Vegetable,140,39.45,Kochi,Kerala,Monsoon (July),Rainy
2024-05-15,Cabbage,Vegetable,205,23.06,Guwahati,Assam,Summer (May),Hot
2023-10-20,Tomato,Vegetable,627,35.3,Mumbai,Maharashtra,Autumn (October),Mild
2024-05-05,Custard Apple,Fruit,129,117.2,Bangalore,Karnataka,Summer (May),Hot
2024-02-20,Strawberry,Fruit,134,119.72,Kochi,Kerala,Winter (February),Cold
2024-09-05,Cucumber,Vegetable,398,28.25,Delhi,Delhi,Monsoon (September),Rainy
2023-01-01,Muskmelon,Fruit,312,39.6,Kolkata,West Bengal,Winter (January),Cold | New Year
2024-06-30,Okra,Vegetable,522,35.42,Bangalore,Karnataka,Monsoon (June),Rainy
2023-08-30,Onion,Vegetable,517,40.04,Hyderabad,Telangana,Monsoon (August),Rainy
2023-06-08,Onion,Vegetable,344,42.54,Guwahati,Assam,Monsoon (June),Rainy
2023-12-15,Orange,Fruit,374,46.36,Patna,Bihar,Winter (December),Cold
2023-07-21,Custard Apple,Fruit,203,100.57,Mumbai,Maharashtra,Monsoon (July),Rainy
2024-10-08,Litchi,Fruit,149,116.38,Hyderabad,Telangana,Autumn (October),Mild
2023-10-18,Capsicum,Vegetable,235,34.72,Bhopal,Madhya Pradesh,Autumn (October),Mild
2023-01-08,Bottle Gourd,Vegetable,148,30.22,Guwahati,Assam,Winter (January),Cold
2024-02-20,Cucumber,Vegetable,467,25.6,Delhi,Delhi,Winter (February),Cold
2024-07-05,Sapota,Fruit,129,49.02,Bhopal,Madhya Pradesh,Monsoon (July),Rainy
2023-11-13,Radish,Vegetable,205,19.04,Guwahati,Assam,Autumn (November),Mild
2024-03-12,Banana,Fruit,564,49.86,Bangalore,Karnataka,Summer (March),Hot
2023-11-06,Sweet Potato,Vegetable,371,22.42,Hyderabad,Telangana,Autumn (November),Mild
2024-12-28,Okra,Vegetable,326,50.14,Delhi,Delhi,Winter (December),Cold
2024-01-12,Orange,Fruit,569,58.82,Delhi,Delhi,Winter (January),Cold
2023-01-31,Pumpkin,Vegetable,227,25.81,Kochi,Kerala,Winter (January),Cold
2023-04-15,Ginger,Vegetable,96,100.78,Guwahati,Assam,Summer (April),Hot
2024-03-08,Mango,Fruit,413,65.61,Bhopal,Madhya Pradesh,Summer (March),Hot | Maha Shivratri
2023-06-03,Peas,Vegetable,195,61.09,Lucknow,Uttar Pradesh,Monsoon (June),Rainy
2023-05-27,Pineapple,Fruit,399,51.0,Chennai,Tamil Nadu,Summer (May),Hot
2023-03-21,Ginger,Vegetable,135,94.81,Hyderabad,Telangana,Summer (March),Hot
2023-02-17,Spinach,Vegetable,282,18.29,Kochi,Kerala,Winter (February),Cold
2024-04-04,Radish,Vegetable,292,20.19,Chennai,Tamil Nadu,Summer (April),Hot
2023-05-21,Coconut,Fruit,286,45.21,Chennai,Tamil Nadu,Summer (May),Hot
2024-05-02,Capsicum,Vegetable,146,62.86,Chandigarh,Punjab,Summer (May),Hot
2024-01-16,Pumpkin,Vegetable,232,17.89,Patna,Bihar,Winter (January),Cold
2023-10-23,Carrot,Vegetable,241,29.01,Bhopal,Madhya Pradesh,Autumn (October),Mild
2023-10-26,Bitter Gourd,Vegetable,216,36.52,Hyderabad,Telangana,Autumn (October),Mild
2024-02-21,Bitter Gourd,Vegetable,161,40.44,Jaipur,Rajasthan,Winter (February),Cold
2023-04-02,Guava,Fruit,202,40.69,Lucknow,Uttar Pradesh,Summer (April),Hot
2024-11-18,Okra,Vegetable,266,38.02,Lucknow,Uttar Pradesh,Autumn (November),Mild
2024-04-06,Brinjal,Vegetable,310,32.23,Chandigarh,Punjab,Summer (April),Hot
2023-09-16,Watermelon,Fruit,400,21.03,Kolkata,West Bengal,Monsoon (September),Rainy
2023-11-27,Green Chilli,Vegetable,148,53.83,Delhi,Delhi,Autumn (November),Mild
2024-07-20,Corn,Vegetable,476,21.41,Chennai,Tamil Nadu,Monsoon (July),Rainy
2023-06-17,Capsicum,Vegetable,150,49.46,Bhopal,Madhya Pradesh,Monsoon (June),Rainy
2023-07-10,Corn,Vegetable,394,19.79,Ahmedabad,Gujarat,Monsoon (July),Rainy
2024-05-16,Corn,Vegetable,336,24.72,Hyderabad,Telangana,Summer (May),Hot
2023-11-19,Papaya,Fruit,239,34.17,Ahmedabad,Gujarat,Autumn (November),Mild
2024-06-21,Orange,Fruit,280,91.05,Bangalore,Karnataka,Monsoon (June),Rainy
2023-09-12,Pomegranate,Fruit,295,104.09,Chandigarh,Punjab,Monsoon (September),Rainy
2023-08-18,Cluster Beans,Vegetable,190,28.4,Bhopal,Madhya Pradesh,Monsoon (August),Rainy
2023-12-10,Apple,Fruit,463,120.0,Hyderabad,Telangana,Winter (December),Cold
2024-07-30,Carrot,Vegetable,113,43.87,Shimla,Himachal Pradesh,Monsoon (July),Rainy
2024-12-15,Orange,Fruit,596,60.72,Delhi,Delhi,Winter (December),Cold
2023-01-30,Capsicum,Vegetable,268,48.08,Hyderabad,Telangana,Winter (January),Cold
2023-12-22,Bitter Gourd,Vegetable,166,41.53,Hyderabad,Telangana,Winter (December),Cold
2023-10-02,Grapes,Fruit,195,98.93,Guwahati,Assam,Autumn (October),Mild
2024-07-28,Mango,Fruit,444,64.25,Lucknow,Uttar Pradesh,Monsoon (July),Rainy
2023-10-24,Bottle Gourd,Vegetable,221,27.37,Kochi,Kerala,Autumn (October),Mild
2024-02-02,Sapota,Fruit,258,34.18,Lucknow,Uttar Pradesh,Winter (February),Cold
2024-04-05,Cauliflower,Vegetable,359,24.12,Hyderabad,Telangana,Summer (April),Hot
2023-05-31,Potato,Vegetable,526,24.21,Lucknow,Uttar Pradesh,Summer (May),Hot
2024-12-25,Banana,Fruit,221,63.33,Shimla,Himachal Pradesh,Winter (December),Cold | Christmas
2024-04-11,Cluster Beans,Vegetable,151,34.2,Bhopal,Madhya Pradesh,Summer (April),Hot
2023-05-20,Okra,Vegetable,388,38.86,Kochi,Kerala,Summer (May),Hot
2023-01-14,Sapota,Fruit,279,34.77,Patna,Bihar,Winter (January),Cold | Makar Sankranti
2023-01-21,Peas,Vegetable,304,40.69,Patna,Bihar,Winter (January),Cold
2023-04-04,Litchi,Fruit,243,93.26,Bangalore,Karnataka,Summer (April),Hot
2023-09-21,Guava,Fruit,376,30.89,Ahmedabad,Gujarat,Monsoon (September),Rainy
2023-12-06,Bottle Gourd,Vegetable,247,29.23,Delhi,Delhi,Winter (December),Cold
2024-07-21,Ginger,Vegetable,163,61.97,Patna,Bihar,Monsoon (July),Rainy
2023-02-12,Cluster Beans,Vegetable,167,46.92,Hyderabad,Telangana,Winter (February),Cold
2023-10-30,Bitter Gourd,Vegetable,192,36.99,Jaipur,Rajasthan,Autumn (October),Mild
2023-05-30,Beetroot,Vegetable,96,35.81,Shimla,Himachal Pradesh,Summer (May),Hot
2024-08-07,Pomegranate,Fruit,265,120.47,Kochi,Kerala,Monsoon (August),Rainy
2023-02-08,Brinjal,Vegetable,133,37.16,Shimla,Himachal Pradesh,Winter (February),Cold
2024-12-15,Garlic,Vegetable,196,63.2,Bhopal,Madhya Pradesh,Winter (December),Cold
2024-10-17,Brinjal,Vegetable,418,35.06,Mumbai,Maharashtra,Autumn (October),Mild
2024-07-17,Cucumber,Vegetable,225,23.88,Shimla,Himachal Pradesh,Monsoon (July),Rainy
2023-04-20,Banana,Fruit,659,42.96,Chennai,Tamil Nadu,Summer (April),Hot
2023-12-16,Tomato,Vegetable,336,28.27,Patna,Bihar,Winter (December),Cold
2024-05-14,Cluster Beans,Vegetable,241,39.49,Bangalore,Karnataka,Summer (May),Hot
2024-12-13,Pineapple,Fruit,184,68.4,Kolkata,West Bengal,Winter (December),Cold
2024-08-07,Orange,Fruit,228,87.11,Chandigarh,Punjab,Monsoon (August),Rainy
2024-11-30,Sweet Potato,Vegetable,396,22.73,Hyderabad,Telangana,Autumn (November),Mild
2024-01-02,Beetroot,Vegetable,256,26.56,Kochi,Kerala,Winter (January),Cold
2023-03-12,Pomegranate,Fruit,209,140.56,Jaipur,Rajasthan,Summer (March),Hot
2023-05-05,Coconut,Fruit,222,42.7,Kolkata,West Bengal,Summer (May),Hot
2024-08-22,Capsicum,Vegetable,195,40.86,Bhopal,Madhya Pradesh,Monsoon (August),Rainy
2024-12-14,Grapes,Fruit,209,78.23,Shimla,Himachal Pradesh,Winter (December),Cold
2024-03-01,Bottle Gourd,Vegetable,218,25.86,Ahmedabad,Gujarat,Summer (March),Hot
2023-02-18,Bitter Gourd,Vegetable,155,44.73,Kochi,Kerala,Winter (February),Cold
2023-07-17,French Beans,Vegetable,139,41.53,Bhopal,Madhya Pradesh,Monsoon (July),Rainy
2023-09-03,Cabbage,Vegetable,248,23.82,Chandigarh,Punjab,Monsoon (September),Rainy
2023-01-21,Tomato,Vegetable,399,34.14,Kolkata,West Bengal,Winter (January),Cold
2023-10-23,Muskmelon,Fruit,281,47.75,Mumbai,Maharashtra,Autumn (October),Mild
2023-12-28,Grapes,Fruit,324,76.5,Chandigarh,Punjab,Winter (December),Cold
2023-07-26,Strawberry,Fruit,76,163.44,Chandigarh,Punjab,Monsoon (July),Rainy
2024-10-18,Watermelon,Fruit,352,24.8,Chennai,Tamil Nadu,Autumn (October),Mild
2023-05-13,Potato,Vegetable,753,28.58,Chennai,Tamil Nadu,Summer (May),Hot
2023-02-06,Grapes,Fruit,340,62.28,Lucknow,Uttar Pradesh,Winter (February),Cold
2024-12-27,Sweet Potato,Vegetable,282,25.34,Chandigarh,Punjab,Winter (December),Cold
2023-05-03,Bitter Gourd,Vegetable,207,34.36,Chandigarh,Punjab,Summer (May),Hot
2023-03-28,Potato,Vegetable,999,26.88,Mumbai,Maharashtra,Summer (March),Hot
2023-12-12,Bottle Gourd,Vegetable,164,22.49,Patna,Bihar,Winter (December),Cold
2024-12-31,Tomato,Vegetable,459,41.27,Mumbai,Maharashtra,Winter (December),Cold
2024-08-17,Pumpkin,Vegetable,373,18.46,Ahmedabad,Gujarat,Monsoon (August),Rainy
2024-10-23,Cauliflower,Vegetable,275,19.43,Patna,Bihar,Autumn (October),Mild
2024-02-26,Radish,Vegetable,323,17.0,Hyderabad,Telangana,Winter (February),Cold
2024-09-13,Peas,Vegetable,151,62.3,Shimla,Himachal Pradesh,Monsoon (September),Rainy
2023-04-18,French Beans,Vegetable,153,50.55,Ahmedabad,Gujarat,Summer (April),Hot
2024-11-03,Potato,Vegetable,622,24.54,Guwahati,Assam,Autumn (November),Mild
2023-11-16,Radish,Vegetable,318,18.85,Chennai,Tamil Nadu,Autumn (November),Mild
2023-12-05,Brinjal,Vegetable,277,34.73,Hyderabad,Telangana,Winter (December),Cold
2023-08-13,Sweet Potato,Vegetable,155,29.27,Shimla,Himachal Pradesh,Monsoon (August),Rainy
2024-10-29,Green Chilli,Vegetable,103,49.94,Guwahati,Assam,Autumn (October),Mild
2023-09-10,Litchi,Fruit,160,92.55,Lucknow,Uttar Pradesh,Monsoon (September),Rainy
2024-12-31,French Beans,Vegetable,179,41.21,Guwahati,Assam,Winter (December),Cold
2024-09-15,Pumpkin,Vegetable,480,18.94,Delhi,Delhi,Monsoon (September),Rainy
2023-03-12,Beetroot,Vegetable,237,21.26,Patna,Bihar,Summer (March),Hot
2023-12-13,Strawberry,Fruit,120,91.87,Bhopal,Madhya Pradesh,Winter (December),Cold
2024-08-07,Capsicum,Vegetable,237,48.11,Ahmedabad,Gujarat,Monsoon (August),Rainy
2024-07-31,Orange,Fruit,311,87.68,Delhi,Delhi,Monsoon (July),Rainy
2023-06-03,Apple,Fruit,194,143.74,Patna,Bihar,Monsoon (June),Rainy
2023-09-29,Apple,Fruit,361,154.8,Bangalore,Karnataka,Monsoon (September),Rainy
2024-04-09,Capsicum,Vegetable,207,58.33,Ahmedabad,Gujarat,Summer (April),Hot | Ugadi/Gudi Padwa
2023-12-20,Bitter Gourd,Vegetable,84,43.51,Shimla,Himachal Pradesh,Winter (December),Cold
2023-02-09,Watermelon,Fruit,412,20.26,Jaipur,Rajasthan,Winter (February),Cold
2024-01-20,Papaya,Fruit,257,34.0,Chandigarh,Punjab,Winter (January),Cold
2024-11-08,Cauliflower,Vegetable,296,18.38,Patna,Bihar,Autumn (November),Mild
2024-05-12,Ginger,Vegetable,177,107.92,Mumbai,Maharashtra,Summer (May),Hot
2023-07-03,Custard Apple,Fruit,128,97.66,Chandigarh,Punjab,Monsoon (July),Rainy
2023-11-30,French Beans,Vegetable,283,36.48,Hyderabad,Telangana,Autumn (November),Mild
2024-10-14,Brinjal,Vegetable,343,28.67,Ahmedabad,Gujarat,Autumn (October),Mild
2023-09-25,Capsicum,Vegetable,278,43.1,Jaipur,Rajasthan,Monsoon (September),Rainy
2024-03-25,Guava,Fruit,264,52.52,Chennai,Tamil Nadu,Summer (March),Hot | Holi
2024-11-25,Potato,Vegetable,1046,22.83,Delhi,Delhi,Autumn (November),Mild
2024-06-12,Watermelon,Fruit,557,15.66,Ahmedabad,Gujarat,Monsoon (June),Rainy
2024-05-03,Apple,Fruit,206,191.01,Kochi,Kerala,Summer (May),Hot
2024-07-01,French Beans,Vegetable,202,53.35,Delhi,Delhi,Monsoon (July),Rainy
2024-05-15,Sapota,Fruit,231,49.96,Hyderabad,Telangana,Summer (May),Hot
2023-07-23,Cluster Beans,Vegetable,266,32.1,Jaipur,Rajasthan,Monsoon (July),Rainy
2024-01-14,Litchi,Fruit,172,126.82,Kochi,Kerala,Winter (January),Cold | Makar Sankranti
2023-12-15,Pumpkin,Vegetable,270,16.01,Patna,Bihar,Winter (December),Cold
2023-06-12,Peas,Vegetable,198,68.4,Ahmedabad,Gujarat,Monsoon (June),Rainy
2023-08-03,Carrot,Vegetable,155,43.77,Guwahati,Assam,Monsoon (August),Rainy
2023-12-05,Cabbage,Vegetable,354,17.8,Chandigarh,Punjab,Winter (December),Cold
2023-08-17,Okra,Vegetable,319,35.0,Guwahati,Assam,Monsoon (August),Rainy
2024-02-05,Green Chilli,Vegetable,103,45.28,Lucknow,Uttar Pradesh,Winter (February),Cold
2023-07-07,Grapes,Fruit,108,113.15,Shimla,Himachal Pradesh,Monsoon (July),Rainy
2024-10-25,Okra,Vegetable,334,39.65,Kolkata,West Bengal,Autumn (October),Mild
2023-01-11,Banana,Fruit,416,55.34,Hyderabad,Telangana,Winter (January),Cold
2023-08-10,Banana,Fruit,506,54.2,Bangalore,Karnataka,Monsoon (August),Rainy
2023-05-13,Pomegranate,Fruit,187,154.84,Kochi,Kerala,Summer (May),Hot
2023-11-25,Orange,Fruit,450,61.06,Jaipur,Rajasthan,Autumn (November),Mild
2024-12-11,Okra,Vegetable,202,39.82,Bhopal,Madhya Pradesh,Winter (December),Cold
2023-07-12,Coconut,Fruit,253,28.91,Patna,Bihar,Monsoon (July),Rainy
2024-05-03,Radish,Vegetable,197,23.32,Kochi,Kerala,Summer (May),Hot
2024-02-02,Capsicum,Vegetable,180,51.01,Guwahati,Assam,Winter (February),Cold
2024-03-09,Capsicum,Vegetable,225,51.87,Kolkata,West Bengal,Summer (March),Hot
2024-06-17,Coconut,Fruit,147,41.24,Shimla,Himachal Pradesh,Monsoon (June),Rainy
2024-08-10,Pomegranate,Fruit,354,119.26,Bangalore,Karnataka,Monsoon (August),Rainy
